,,,가이즈카향나무,겹벚나무,눈주목,눈향나무,느티나무,단풍나무,독일가문비,등나무,라일락,매화,메타세콰이어,모과나무,목련,무궁화,반송,팥배나무,백목련,백송,베롱나무,사철나무,산당화,산딸나무,산벚나무,산사나무,산수유,산철쭉,서양측백,섬잣나무,스트로브잣나무,실화백,애기꽃사과,영산홍,오동나무,왕벚나무,은행나무,자목련,자작나무,잣나무,적송,전나무,중국단풍,쥐똥나무,진달래,철쭉,튤립나무,플라타너스,향나무,홍단풍,화백,황금실화백,회양목,회화나무,히말라야시다,
환경적특성,생육환경,토성,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
환경적특성,생육환경,음양성,양수,양수,음수,양수,중용수,중용수,음수,중용수,중용수,양수,양수,양수,중용수,양수,중요수,음수,중요수,음수,양수,양수,-,중용수,-,중용수,양수,양수,양수,음수,음수,양수,-,양수,극양수,양수,양수,양수,극양수,음수,극양수,음수,중용수,중용수,중용수,음수,중용수,중용수,양수,양수,음수,-,중용수,중용수,중용수,
환경적특성,생육환경,생장속도,느림,보통,느림,느림,보통,보통,보통,빠름,보통,보통,보통,보통,보통,느림,보통,보통,보통,보통,보통,보통,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
환경적특성,생육환경,산도,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
환경적특성,생육환경,토양깊이,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
환경적특성,생육환경,기후대,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
환경적특성,환경내성,내공해성,강,강,중,강,중,강,중,중용수,강,중,중,강,중,강,중,약,중,중,약,강,하,강,강,중,약,강,강,중,강,중,-,중,강,중,강,중,약,중,중,극약,강,강,중용수,약,강,강,강,강,강,-,강,강,강,
환경적특성,환경내성,내건성,적윤,적습,적윤,적윤,적윤,적윤,적윤,적윤,적윤,적윤,습윤,적윤,적윤,내건,적윤,내건,적윤,적윤,적윤,적윤,습윤,적윤,적습,적윤,적윤,적윤,적윤,적윤,적윤,적윤,-,적윤,적윤,적윤,내건,적윤지,적윤지,적윤지,내건,적윤지,적습,적윤,적윤,적윤,적윤지,적윤,내건,적습,내건,-,적윤,적윤,적윤,
환경적특성,환경내성,내습성,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
환경적특성,환경내성,내화성,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
